id,title,author,publisher,category,published_date,isbn,price,stock
1,단단한 사전 입문 (전면개정판),홍하은,문학동네,경제경영,2020-02-03,9785197339849,18000,45
2,마지막 편지,백민준,사계절,과학,1998-04-13,9781263973967,18000,2
3,눈부신 골목에 대하여,박도윤,인사이트,자기계발,2006-12-23,9788099131773,15800,20
4,느린 이름의 재발견,안건우,열린책들,경제경영,1998-10-13,9788601835793,18000,2
5,작은 불빛의 재발견,정건우,길벗,인문,2006-05-19,9788377775229,15800,0
6,불완전한 시간 노트 1,서서윤,돌베개,IT,2002-02-08,9786776604238,32000,2
7,무한한 마음이야기 1,올가 토카르추크,문학동네,여행,1999-04-18,9782317639371,18000,8
8,아름다운 질문을 위한 안내서 3,신서윤,위즈덤하우스,에세이,2008-08-11,9785573393178,38000,5
9,고요한 바다을 찾아서 3,문건우,위즈덤하우스,역사,2001-03-28,9784696156483,9800,2
10,완벽한 우물에 대하여 (개정판),권나윤,위즈덤하우스,경제경영,2004-08-11,9784398401044,45000,5
11,이상한 별자리에 대하여 1,서현우,문학동네,인문,2005-07-04,9782138915959,13500,5
12,고요한 습관이야기 1,서지호,은행나무,인문,2015-03-02,9780441640751,28000,3
13,오래된 이름이야기,헤르만 헤세,돌베개,IT,2024-12-03,9785975948713,11000,20
14,고요한 편지 실전 가이드,이하은,사계절,여행,2020-01-30,9780026605405,28000,1
15,익숙한 겨울 실전 가이드 (합본),신건우,한빛미디어,에세이,2015-01-18,9785413266398,15800,2
16,잊혀진 우물 노트,고가은,돌베개,인문,2001-12-13,9784191577373,19800,20
17,거대한 불빛 연대기 (전면개정판),백지우,위즈덤하우스,인문,1999-12-30,9780250606218,12800,12
18,눈부신 골목이야기 3,레이먼드 카버,열린책들,여행,2016-07-17,9788768753572,14000,0
19,불완전한 계절에 대하여,오선호,비룡소,자기계발,2017-12-16,9789110941010,16500,45
20,익숙한 도시 연대기 (개정판),강나윤,돌베개,예술,2016-06-17,9786028268742,9800,12
21,거대한 겨울의 재발견,문소율,웅진지식하우스,역사,2009-06-01,9785792629426,18000,1
22,마지막 기차이야기,송우진,김영사,소설,2004-10-28,9787112308299,22000,0
23,잊혀진 별자리 연대기,유윤서,길벗,인문,2012-04-17,9787350665916,13500,12
24,처음 만나는 사전,배윤서,알에이치코리아,경제경영,2014-10-21,9782351160547,32000,120
25,처음 만나는 시간 노트,도리스 레싱,에이콘출판,예술,2004-12-12,9784155203433,22000,5
26,조용한 이름 3,가즈오 이시구로,북스톤,경제경영,2025-07-23,9780437447055,14000,12
27,고요한 겨울 1,정예준,북스톤,과학,2001-04-08,9783713348106,22000,5
28,완벽한 도시 실전 가이드 (전면개정판),황건우,알에이치코리아,자기계발,2017-11-06,9789920761780,14000,3
29,익숙한 지도의 재발견 (전면개정판),이탈로 칼비노,위즈덤하우스,IT,2012-07-17,9784759938514,32000,8
30,느린 방 노트,마거릿 애트우드,열린책들,여행,2007-02-02,9786115104430,19800,12
31,새로운 정원을 위한 안내서 1,신현우,문학동네,예술,2012-08-02,9783554958660,32000,1
32,새로운 마음 실전 가이드,남하은,문학동네,소설,2021-09-20,9786248443792,45000,0
33,낯선 숲 입문,신서연,길벗,과학,2017-01-16,9788020927121,12800,8
34,불완전한 거리의 역사 (개정판),양다은,웅진지식하우스,예술,2024-11-18,9782532894336,13500,0
35,서툰 도시의 발견 (전면개정판),윤도윤,웅진지식하우스,에세이,2021-05-29,9783101591503,14000,1
36,무한한 방의 기술 1,한나윤,돌베개,과학,2012-01-19,9787435115747,11000,5
37,가장 먼 언덕 입문,코맥 매카시,웅진지식하우스,소설,2013-07-30,9788545285084,32000,8
38,느린 이름의 재발견 (합본),송예준,돌베개,소설,2015-09-19,9784689922568,22000,0
39,완벽한 계절을 위한 안내서,전가은,현대문학,에세이,2024-10-27,9787659128318,28000,1
40,눈부신 이름 (전면개정판),홍주원,에이콘출판,인문,1999-09-23,9788851514981,32000,2
41,무한한 약속의 기술 1,문지우,민음사,역사,2017-10-24,9785042335518,28000,0
42,조용한 문장 2,아니 에르노,민음사,여행,2010-11-12,9780208723423,12800,2
43,아름다운 문장 입문,황건우,북스톤,IT,2017-11-01,9780409324415,25000,12
44,작은 지도이야기,황지호,비룡소,IT,2006-09-07,9780248210932,14000,45
45,이상한 정원의 기술 (전면개정판),손서윤,웅진지식하우스,인문,2007-07-02,9782320941135,15800,3
46,오래된 저녁을 찾아서,조지 오웰,돌베개,IT,2019-11-17,9785822021590,38000,120
47,새로운 마음이야기 (합본),안소율,북스톤,에세이,2008-02-01,9781879449272,16500,20
48,완벽한 아침 연대기 3,허가은,인사이트,여행,2010-01-18,9787772491321,45000,0
49,느린 이름이야기,한예준,문학동네,경제경영,2017-12-10,9782721148399,14000,20
50,아주 사소한 언덕,송하은,위즈덤하우스,예술,2021-07-12,9781688166494,11000,1
51,오래된 목소리 실전 가이드,문서연,은행나무,과학,2021-02-13,9785276989536,9800,3
52,잊혀진 언덕 실전 가이드 2,안소율,위즈덤하우스,소설,2018-10-30,9787435982462,15800,120
53,마지막 질문의 발견,정은우,돌베개,자기계발,2020-07-27,9784051424538,18000,45
54,조용한 시간의 조건,최선호,웅진지식하우스,IT,2002-10-29,9785716844564,22000,8
55,이상한 계단의 조건 1,박하은,북스톤,인문,1998-10-14,9782718925074,25000,20
56,단단한 숲에 대하여 (전면개정판),허채원,민음사,자기계발,2024-10-21,9780549414976,14000,2
57,낯선 문장 완전정복 (합본),임지아,민음사,인문,2025-09-25,9780162698836,16500,12
58,마지막 항해의 역사 (합본),고지아,한빛미디어,역사,2010-11-19,9782953430443,13500,1
59,무한한 문장의 재발견 2,버지니아 울프,돌베개,인문,2012-05-16,9781295422129,22000,1
60,아주 사소한 이름 (개정판),강지호,사계절,자기계발,2013-04-19,9789671620559,25000,8
61,단단한 숲의 조건 3,홍정우,인사이트,역사,2026-02-09,9783632704891,15800,3
62,다시 읽는 기차 실전 가이드 2,전도윤,에이콘출판,예술,2011-02-07,9789196090023,32000,2
63,익숙한 시간을 찾아서 (전면개정판),손도윤,프리렉,인문,2015-01-25,9780065345251,13500,12
64,아주 사소한 편지 (합본),이시우,길벗,소설,2009-12-11,9784588173851,12800,5
65,작은 기차의 조건,고하은,돌베개,IT,2009-01-17,9784983140666,22000,12
66,거대한 저녁을 찾아서,고정우,웅진지식하우스,인문,2005-07-27,9789291732188,13500,8
67,거대한 계단 (전면개정판),유하은,길벗,인문,2002-06-08,9781101247008,15800,20
68,처음 만나는 도시 완전정복 3,이재현,김영사,소설,2011-11-17,9785218414809,11000,12
69,불완전한 겨울 입문,김도윤,김영사,자기계발,2000-03-09,9782706907867,19800,12
70,이상한 약속,유가은,마음산책,인문,2009-06-07,9784589695390,38000,8
71,붉은 항해 1,가즈오 이시구로,문학동네,인문,2016-03-24,9788613876834,18000,5
72,불완전한 시간 완전정복,황서연,사계절,자기계발,1998-10-01,9781615320408,22000,12
73,무한한 시간의 기술,김은우,알에이치코리아,경제경영,2004-07-30,9780033845816,15800,3
74,낯선 이름 노트 (전면개정판),유예준,비룡소,경제경영,2014-09-26,9783970526249,25000,5
75,다시 읽는 거리을 위한 안내서 1,김태윤,열린책들,소설,2016-05-11,9780643577979,38000,8
76,조용한 습관 실전 가이드 (합본),임가은,프리렉,에세이,2017-09-18,9789825397305,25000,120
77,오래된 방 입문,헤르만 헤세,북스톤,과학,2001-05-31,9787452218830,15800,20
78,새로운 아침을 위한 안내서,문윤서,에이콘출판,에세이,1998-06-28,9787175124011,14000,2
79,새로운 숲 연대기 (합본),전지우,위즈덤하우스,역사,2025-12-06,9787392785282,12800,3
80,새로운 겨울을 찾아서 2,송가은,문학동네,예술,2011-06-12,9788384720156,25000,2
81,느린 사전 실전 가이드 (전면개정판),김예준,길벗,인문,1999-03-27,9788162221622,13500,20
82,단단한 계절 노트 2,유서윤,인사이트,인문,1999-08-18,9787496853909,25000,3
83,붉은 겨울을 위한 안내서,황채원,인사이트,인문,2011-01-09,9788373451040,16500,12
84,작은 기차 수업 2,무라카미 하루키,현대문학,예술,2020-10-01,9786054915722,38000,5
85,낯선 아침 완전정복,안지호,열린책들,여행,2025-04-28,9783604112708,22000,3
86,조용한 골목의 역사,코맥 매카시,길벗,과학,2022-02-11,9781319231643,14000,1
87,거대한 지도 완전정복,최가은,민음사,인문,2025-07-13,9784405416055,32000,12
88,아름다운 아침의 역사 3,김현우,인사이트,여행,2008-05-06,9780419119347,25000,20
89,이상한 항해 연대기 (합본),조윤서,문학동네,IT,2003-07-11,9789849291692,14000,8
90,조용한 계절의 발견 3,홍서연,돌베개,자기계발,2011-10-09,9785129006264,12800,0
91,완벽한 항해 수업 (개정판),임시우,마음산책,경제경영,2007-06-23,9780690265929,9800,5
92,새로운 지도에 대하여,조지아,민음사,경제경영,2002-09-01,9788102857520,15800,0
93,보이지 않는 약속의 발견 3,윤가은,김영사,과학,2002-12-01,9783829830168,19800,5
